dates,diamonds,butter,cars,cucumber,bananas
2006-09-05,10.917141807533639,1.6689369100898537,3.144357874742769,1.4339277619252988,2.4853659592509825
2006-09-06,10.572805980414318,1.653053157248841,3.1105682935063506,1.4194345319463522,2.4539489364387794
2006-09-07,11.476734714234542,1.675155725394206,3.054225933239947,1.4073260342383125,2.398618605685877
2006-09-08,10.826181879408846,1.7250141781651296,3.032142782308701,1.4543469415113717,2.3861730672828982
2006-09-11,10.225024969367505,1.7830940695754975,2.9767241560684337,1.4434966830120608,2.5106384423210812
2006-09-12,9.599256237834878,1.7894661846015496,3.045016634743068,1.443893363379705,2.4931654673875174
2006-09-13,9.034297224916205,1.7831755368393956,3.0268924018373804,1.449637443932848,2.4622995155104777
2006-09-14,8.565252430467101,1.771007616873238,3.0295716240888955,1.43719539251171,2.4399947262443256
2006-09-15,8.212102313072979,1.8220948308966285,2.999030802924263,1.4249855148010613,2.5267115567088125
2006-09-18,7.7740163434975456,1.8109601972105358,2.9448076360050788,1.4210944572023387,2.4628162010315773
2006-09-19,7.2116057897144445,1.8017622638229176,2.9059746384187277,1.43380663538971,2.4237689999898393
2006-09-20,7.9039891213605085,1.7916594377705584,2.8217778265350693,1.4232951422492028,2.37613124260121
2006-09-21,7.329438671938092,1.796860964781522,2.819512820445556,1.4323438060726335,2.341824962835907
2006-09-22,6.853426301888498,1.788626838594445,2.7606140919037174,1.4154024714670126,2.429479365618425
2006-09-25,7.813413592111321,1.7831827002044474,2.8568490944241463,1.4124282103298904,2.5522200937952877
2006-09-26,7.413047843460926,1.7992789879798678,2.760560723101983,1.4046213172524524,2.5157058957252785
2006-09-27,7.42773049394334,1.8224532447308197,2.68017005611403,1.4239746962560147,2.4874291008561484
2006-09-28,7.869883173409429,1.8222885207797148,2.8412109806756414,1.4296325138973787,2.4615993182102622
2006-09-29,7.79236792038127,1.8200788079098356,2.7270930055979536,1.4218311710558889,2.4371534179418703
2006-10-02,8.229705221350814,1.8123307942661098,2.7371658721547556,1.4090370493318864,2.416057373936141
2006-10-03,8.048525660861321,1.812136602056818,2.6402678315282984,1.4042454132634459,2.407776689480418
2006-10-04,8.198894105503523,1.7999158941980429,2.6967684151690667,1.3863214700895603,2.3987404005669313
2006-10-05,8.685753481477859,1.7945503699446932,2.6545590864473776,1.4000123229897194,2.368178314509856
2006-10-06,8.194325698809513,1.8790469371222511,2.579952701676355,1.4080519441051729,2.3692997381876406
2006-10-09,9.799734578228415,1.882004741611229,2.484748788071342,1.3980010350091403,2.4110690417571177
2006-10-10,10.724333460901477,1.8814500662586644,2.415433233635676,1.3971928392568551,2.3644193362871317
2006-10-11,10.141920126000475,1.8803597497234568,2.416201099468619,1.3910885627632499,2.3093896525370643
2006-10-12,9.950064771575503,1.9293042309889674,2.3380106556548075,1.3982871621687911,2.3644288058807077
2006-10-13,9.853325091625807,1.9252514004107126,2.2811285819762883,1.4068521191017442,2.3550758297640817
2006-10-16,10.399732629704811,1.9330553572269298,2.267736498727606,1.4103378960023445,2.551527876411382
2006-10-17,9.898057491723495,2.1372244676647534,2.4932891955360432,1.3925605171030933,2.5321818609415665
2006-10-18,9.630796225743596,2.076406192105583,2.6696207959573757,1.4285265051136788,2.762915013636044
2006-10-19,9.963396401322663,2.1128675623822306,2.517496923053505,1.4110644526640357,2.733298016128315
2006-10-20,9.545985593252194,2.3521655415396516,2.496186787539399,1.3956255816321774,2.710148195656168
2006-10-23,9.027546367864677,2.590240981391452,2.8870069211504754,1.3782322093080561,2.6940952961164837
2006-10-24,8.628716268053962,2.4889440835415586,3.116190408360959,1.3614866522225124,2.667344601801206
2006-10-25,8.463296283313156,2.4268925271438273,3.185728777438965,1.3549049140932918,2.683345725190503
2006-10-26,9.315842086391951,2.453844640167382,3.111197521823423,1.3450922274758015,2.722144390024855
2006-10-27,8.962168465117372,2.3574416105738574,3.033522391463129,1.3689166763045,2.708245969739703
2006-10-30,8.515257401403007,2.2792834177761683,3.042831838147977,1.4483728296535214,2.7408325885833675
2006-10-31,8.280376826437033,2.260935588854736,3.0133371909657582,1.4330153432402675,2.720242988278579
2006-11-01,8.110749247037065,2.225086895487176,3.2485964276407637,1.465515603940211,2.7233911580963888
2006-11-02,8.133829262098324,2.1602913410608977,3.220915208267082,1.4427869804754998,2.759393206846769
2006-11-03,7.743864213578431,2.1219057247257593,3.1912069275095485,1.4387752037776347,2.7633596807962895
2006-11-06,7.530428718798274,2.2034029958907233,3.1097564704335463,1.4202593251203752,2.807231105275433
2006-11-07,7.3171688586324155,2.3493708018897976,3.0811951085736715,1.401740110214728,2.783529199592558
2006-11-08,6.944272520333855,2.8231351152156643,3.0126275758920347,1.4125570724513936,2.785550740568401
2006-11-09,6.909393341723836,2.745087920285953,3.001878253298061,1.399859449605321,2.8646129737948196
2006-11-10,6.792603973885027,2.637753945099808,2.9394924033495253,1.3848266703170478,2.8673440325433983
2006-11-13,8.91266399808131,2.524778274459294,2.843335369902567,1.3727779931358124,2.848505849898363
2006-11-14,9.627986603467315,1.8902774085935956,2.747252423870682,1.3622504729459994,2.833809707413862
2006-11-15,9.111324920107167,2.5458169577468337,2.616804524216876,1.3596697474772952,2.823155399039687
2006-11-16,9.355566383388405,2.4955845122737563,2.608242572008541,1.3504859382583705,2.8072848499493257
2006-11-17,9.51778215803631,2.5337717053564335,2.577401642002266,1.3421428357663718,2.79073448971622
2006-11-20,10.069329242807104,2.5946167670069813,2.5513466614052094,1.3447870112691032,2.8061047739225495
2006-11-21,11.427796387498548,2.531326905791518,2.503622848808568,1.3505991851468657,2.793360330643564
2006-11-22,10.845106303274916,2.417086650699653,2.622309909490515,1.3601079098875815,2.8439479845455056
2006-11-23,10.398059566584093,2.6235149036584016,2.583757876410507,1.348106864230674,2.8914072922500837
2006-11-24,9.823519716949166,2.347343361088459,2.542900645889457,1.3429969756379034,2.8929758304360953
2006-11-27,9.877040868398264,2.3456917466780816,2.9965386681376383,1.331787368573822,3.1970418534236025
2006-11-28,9.736230293596405,2.5057678525246385,2.9130587486427606,1.3222339024626664,3.2581064028915057
2006-11-29,9.493067964045402,2.355654097157635,2.6230259133111464,1.314626355374548,3.1936485508682932
2006-11-30,8.97667968485683,2.333338550745838,2.560608301997254,1.320941149530327,3.176009186002755
2006-12-01,8.679860512682165,2.3324738443203517,2.648442895991297,1.316843344160502,3.0983351306431404
2006-12-04,8.202369032411166,2.327443611853756,2.981372255555319,1.310668940389518,3.0489484885203013
2006-12-05,7.759901777666767,2.444694223325607,2.681863864773227,1.3040850139667461,2.9828761097716057
2006-12-06,7.248379957894108,2.462590280076043,3.017695068150316,1.299516040714629,2.9910224207545766
2006-12-07,6.8729331890772905,2.4499084667184468,2.7137925590909617,1.3090349698919643,2.945849009515056
2006-12-08,6.271908478826847,2.425486463243269,3.1315278423917756,1.2868813127475527,2.9378803561430242
2006-12-11,7.357133420362086,2.398236713206931,3.1047725876028904,1.2863490016643315,3.0977680204474054
2006-12-12,8.108788894305295,2.42074882315786,3.0252940956226233,1.2827656407080634,3.0688677594140863
2006-12-13,8.546080017766721,2.395140719329341,2.9802530686405744,1.2833081379798246,3.0398199346694343
2006-12-14,8.046343917728706,2.3765752621105647,2.9083308510019896,1.2322979730464294,3.0482387978222536
2006-12-15,7.910364319593841,2.3493802333640894,2.8271741521464726,1.2269328184833328,3.044631897910618
2006-12-18,8.63970666953874,2.3338155809680665,2.8498723903719507,1.2172695079094422,3.1525106844888025
2006-12-19,8.218862487277411,2.203074011209015,2.627143837099874,1.2027785134741305,3.1091579232283877
2006-12-20,7.9000464584712,2.170991963475132,2.595788179627045,1.2013274380181638,3.0755901015801244
2006-12-21,7.546349174548686,2.110309991715199,2.5956232783961783,1.1847595474160066,3.0555877871273567
2006-12-22,7.202099696155902,2.1380936306035743,2.5837874812889026,1.1694120079516601,2.985883419459073
2006-12-26,7.482842080255969,2.330803793701462,2.5477961711574126,1.168842045183652,2.964728835408501
2006-12-27,7.379564553995117,2.4189499625746547,2.6951320224365087,1.1449556657506443,3.0896741010534017
2006-12-28,7.206490981127302,2.4099059720891014,2.6985084125331347,1.1269318143434595,3.0428333242642016
2006-12-29,6.957281611330446,2.388024292691177,2.6918411011685457,1.0840611757279168,3.05720581112096
2007-01-02,6.595675744864957,2.3784890033937303,2.6619740440954187,1.1102914924288823,3.0378550375403357
2007-01-03,7.422534990634185,2.359532973879682,2.6467757618163334,1.089742528884071,3.011824575608316
2007-01-04,7.476298729841703,2.4044342022855902,2.6823932269766466,1.0852557372365694,2.9976233445363136
2007-01-05,7.1331246061240545,2.439845503670094,2.6640900033474546,1.048472125952468,2.9858732298944113
2007-01-08,7.841545075652433,2.411292372778661,2.6439720986521182,1.06486347288404,2.9638259423242275
2007-01-09,7.760109795817209,2.4008713003600994,2.621452038956692,1.3868936541406576,2.9538128364565743
2007-01-10,8.32959263985934,2.3680566758399535,2.6808632992004613,1.3368446415957518,2.9301078419120765
2007-01-11,8.167805279081657,2.388459787467661,2.672865810973069,1.278596358731827,3.0120106482090474
2007-01-12,8.375338470081577,2.4409939943119676,2.654757104591832,1.240135995833792,4.152121527746086
2007-01-15,7.989231272962358,2.447447993988789,2.6355720181498534,1.231883057854364,3.3441474924633727
2007-01-16,7.695633204282732,2.4389576319325434,2.62161505264748,1.2231228408195074,3.040796382013785
2007-01-17,7.526642156327064,2.4174950893938205,2.6577430296458595,1.1980206988906137,3.0608841415630286
2007-01-18,7.178552343152704,2.399998372988186,2.654470906903778,1.1757037071251881,3.0139563694212814
2007-01-19,8.287016405972341,2.408077131796469,2.637022713323686,1.1556069101004725,2.9407749231816678
2007-01-22,7.993241105504885,2.377857866486566,2.661999606719248,1.1734137138320087,2.979924705428244
2007-01-23,7.638679431684796,2.3552274442574372,2.6906930945489758,1.182391374783221,2.8969378873568306
2007-01-24,7.409983854590213,2.3680313400074358,2.6860000562663715,1.2107580895339856,2.9274828796605497
2007-01-25,7.049672888319533,2.340848880569834,2.688078828028553,1.206034011850991,2.8905541071124508
2007-01-26,6.976444717720209,2.3196766123997,2.6838224945932816,1.1746572871459628,3.310643350922175
2007-01-29,6.6200663874173,2.0936797166253873,2.7015705944318924,1.1571563470239128,3.5521942215638034
2007-01-30,6.257755439635982,2.042951784148334,2.6906917776575776,1.216835207558725,3.56549380284722
2007-01-31,5.961859148780736,2.0045342291757966,2.68094159159117,1.2545779942546824,3.042689335069182
2007-02-01,5.602790279709846,1.9739473218445165,2.6815136564060866,1.2294767358653491,3.2411734155291922
2007-02-02,5.10842055286186,1.9443602184609277,2.700026503620388,1.197528054347919,3.6706918964013737
2007-02-05,5.051220676709095,2.0681070125216467,2.6887239191536634,1.1694140276213334,3.022067632260871
2007-02-06,6.110496227605906,2.0492186146650004,2.6769504041473544,1.1452275555532765,3.1595627139312357
2007-02-07,5.740840132299136,2.0262094940790383,2.6750864953197806,1.1325497595040348,2.9370886914725896
2007-02-08,5.727141776088992,2.0059703001477143,2.669465060589602,1.201423375551784,3.458255112476028
2007-02-09,5.677385357739305,1.9698758267033785,2.6783215207513296,1.1717067745074725,3.017972849470807
2007-02-12,5.601320038787264,1.9561493440969902,2.670663435842383,1.1654125272709341,3.049011442264973
2007-02-13,5.325425423498076,1.9334041948426022,2.660743916402915,1.1626267914103152,2.9117823129818574
2007-02-14,5.025585718732378,1.901775505770391,2.6511559649475624,1.191585556443753,3.157161517147915
2007-02-15,4.7203003309077065,1.8717422548777556,2.64171667755808,1.1686545730562705,3.3549955925125725
2007-02-16,5.219043904798809,1.8512901825594406,2.672286682179384,1.218213049423639,3.1474491163664102
2007-02-19,4.932242621533645,1.8049404073701454,2.6647943775962664,1.4236670517754626,2.966103450867558
2007-02-20,4.660949352509303,1.7537797979228669,2.6596477224987884,1.2039543239584183,3.4416563782586094
2007-02-21,4.567148345381414,1.8054160168912738,2.656775753464809,1.1459956139522407,3.4882697330657653
2007-02-22,4.4973252881518375,1.8521523007454523,2.6490347277937216,1.2555737613354614,3.4511513449541185
2007-02-23,4.544532220465528,1.884254199805152,2.6464834561256856,1.1624855787230723,3.443655919528362
2007-02-26,4.400807997975735,1.8441660729663827,2.636359857796249,1.2507891160740414,3.039204150399457
2007-02-27,4.242924067249879,1.9148603909918138,2.6342617392748084,1.3524245867252866,3.4417942648528452
2007-02-28,4.9155753954034695,1.9236661863853521,2.628154122946557,1.1486156698457102,3.588515130198341
2007-03-01,5.1228224372674775,1.9001184303697847,2.6300426399987495,1.1970751771372958,3.6517172963181492
2007-03-02,7.594938676081919,1.8746652297004835,2.6224936118639537,1.1946801561873288,3.615960064208837
2007-03-05,7.449481707781487,1.8400425679584682,2.6204904266489235,1.1657017206705336,3.661190791366526
2007-03-06,6.731371656213402,1.8151472615411415,2.6110722558766617,1.152729683468734,3.651492833924272
2007-03-07,7.603372531735229,1.8950868335071356,2.6095715148531333,1.148737993491827,3.658139694273334
2007-03-08,7.249493796126908,1.869366826601955,2.601754870674864,1.1287324146038413,3.7143101203301088
2007-03-09,7.443552183477279,1.8492620037328156,2.5925159042612025,1.1312719131897369,3.7685310325169543
2007-03-12,7.285133814828882,1.8351994784687071,2.586403455519365,1.1346939338795456,3.73433601487174
2007-03-13,7.4631860007685145,2.0138108298827087,2.5822213495954913,1.120438921340886,3.7337079959721655
2007-03-14,6.786911170499085,1.980476201241394,2.5832935958682954,1.095720661361373,3.7359055241252896
2007-03-15,6.446158118273286,1.960623442476327,2.578423905292474,1.0601032124161767,3.7633193761008736
2007-03-16,8.231085312216576,2.065514997738663,2.576450354373452,1.051331589001674,3.810711166309556
2007-03-19,7.532624724930585,2.030184421249736,2.5996187353801425,1.112494570450808,3.7928890713403716
2007-03-20,6.908511996761488,2.055651125957173,2.5953242259725364,1.1525971152209973,3.8125361567458445
2007-03-21,8.037197849016447,2.019130137440042,2.588200950554166,1.048208173022847,3.790575209544983
2007-03-22,7.638964560760438,1.9856981335398374,2.5947295282746023,1.0527408725750518,3.8065173228488702
2007-03-23,8.054135392768481,1.9523272109557506,2.584418245031378,1.0259152794808453,3.7750053990717625
2007-03-26,7.272832425185434,1.9288901266404443,2.5791903401690934,1.1172507506431624,3.9135543179691736
2007-03-27,6.783863825296213,1.9978323881617863,2.582369455441931,1.0875275581279205,3.905630098890486
2007-03-28,6.667450676553351,1.981850197785073,2.57120690015433,1.1812304447357742,3.944782208084328
2007-03-29,6.3240578586236165,2.0179979815479467,2.5674178846774813,1.1546026181414006,3.940118095696866
2007-03-30,6.1295249887808,2.030290152274157,2.6036761565352937,1.1122239223093984,4.009808337260484
2007-04-02,5.871456215932186,1.997962867460059,2.5908284095087866,1.1160419817677176,3.987974437123108
2007-04-03,6.452051131391698,2.2024499907485837,2.5803706719123776,1.070332004995807,3.966263130829831
2007-04-04,6.071629737609343,2.237991724864568,2.578691880478551,0.99289628042529,3.9309833074994813
2007-04-05,5.796472837370316,2.2178604350627276,2.5516430777946866,0.9702682203606853,3.899453433845683
2007-04-06,5.486745512804091,2.212515360522646,2.4981736748311674,0.9508132578752505,3.9114211056698918
2007-04-09,5.356078494924451,2.267914558179358,2.4727008012397778,0.927081335291109,3.9062833110398376
2007-04-10,5.407626063287209,2.234416549061473,2.570389410471044,0.9382393226845818,3.931250618974934
2007-04-11,5.503100670670292,2.345908262673616,2.5376400411685904,0.9308905181933622,3.9055822367027653
2007-04-12,5.405478959687906,2.3332009151741198,2.4993727261821106,0.9261186258657196,3.943668324851332
2007-04-13,5.749999813836967,2.298539501890806,2.4903728268304373,0.9211228473082999,3.9725217534565123
2007-04-16,5.905277627004353,2.2566876160044878,2.474032918380287,0.9005835786635681,3.9366558508321496
2007-04-17,5.561236713364823,2.216214739410114,2.4887906620448117,0.8985986130704847,3.8993746688005055
2007-04-18,5.184641515101478,2.2046712923808665,2.4392996853958295,0.8904130963274576,3.862197992296493
2007-04-19,4.951262002317506,2.1844545846823076,2.3696704728781355,0.8842541972252458,3.9571967279852647
2007-04-20,5.323129802206686,2.1590870927672987,2.350129087023155,0.903464259349448,3.9901306557868836
2007-04-23,5.511079616501978,2.293647023922976,2.2833682014153256,0.8978279233231491,4.016355188595069
2007-04-24,5.489822907653691,2.2662698360684854,2.1386799126328455,0.8886604972507073,3.995916192203
2007-04-25,5.345725921786609,2.22258570722454,2.5061832539638993,0.88233784119447,3.9697273372590964
2007-04-26,5.125176318833135,2.2038082852515184,2.5559108464790783,0.8841854649296569,3.9588835377533846
2007-04-27,5.282476682807998,2.4371834542997943,2.5651945010964323,0.8903551569513721,3.9228633375740856
2007-04-30,5.287560030737018,2.372532259966178,2.446202898008843,0.8945073456464682,3.918126192711568
2007-05-01,4.9919066463037085,2.3429662203855313,2.4458544445283703,0.8886017067589415,3.955711390100784
2007-05-02,4.670854011874716,2.3329310024717027,2.636637238056355,0.9303701399125228,4.147770313045859
2007-05-03,5.9299573320500505,2.2915582221305137,2.604606496944586,0.8940967266121262,4.138495035470654
2007-05-04,5.43228743481684,2.311268559845112,2.724290111488305,0.9039013504284839,4.099651278232637
2007-05-07,5.052979449563377,2.2655424862936866,2.6471861642922327,0.8814460322900388,4.0507433197234715
2007-05-08,4.9690604957958655,2.237797863340802,2.6301199810356986,0.8542827501278933,4.039335612148195
2007-05-09,4.555706275213049,2.202266420280772,2.598647697239038,0.8427909893245538,4.061760340768809
2007-05-10,4.946776699834973,2.3029911509480505,2.5880346432373598,0.8603738331228631,4.0205932591214335
2007-05-11,4.522286063228149,2.265804682408451,2.588637486104931,0.8335618214011069,4.081835445412768
2007-05-14,4.393679269089278,2.227734968327508,2.599409819446205,0.8747502610494859,4.0015359678211775
2007-05-15,4.26648101565939,2.198404863354557,2.5989108404417784,0.8759134533644953,3.9432513976331363
2007-05-16,4.1540375993094605,2.162034645059034,2.5929038509016475,0.8542309216789274,3.9761256799109765
2007-05-17,4.060961771293843,2.131947683570374,2.605721921968322,0.8833410800902881,3.9365153932660273
2007-05-18,4.066919650458682,2.0983491469197286,2.596498446073746,0.8674782414839358,3.8997514973689564
2007-05-21,3.954609575810459,2.0790495108246456,2.5988775480490953,0.8445789374839804,3.88103440588095
2007-05-22,3.8857211696438743,2.0518085867283133,2.593707157520174,0.853013461545351,3.88557076753145
2007-05-23,3.8452923068804057,2.077484592128319,2.589645638717159,0.833124647248769,3.8859740362891286
2007-05-24,3.8282630907177935,2.06206667385977,2.5811853993595726,0.8255245374327619,3.8636254302337916
2007-05-25,4.1878125100393655,2.0292393788345584,2.600440460057092,0.8514775807439211,3.831917902549814
2007-05-28,4.046907238647439,1.9944244889568938,2.619743880313334,0.8805225994102469,3.8197168998678794
2007-05-29,3.929473885070918,1.9572386499911272,2.616783657438615,0.879801550988276,3.778386537443874
2007-05-30,3.9719989880749518,1.9761050276619094,2.6101285480257292,0.8556825199231026,3.7539213181662463
2007-05-31,3.8674370509256386,1.9339403070394297,2.6082474963192315,0.8381325653635839,3.7213154490424163
2007-06-01,3.761160022049737,1.989381908410983,2.5975331529135897,0.8283665213051967,3.702667061260248
2007-06-04,3.708515465206282,1.9525821956726577,2.6020105906399844,0.8241742128569867,3.6770993038851625
2007-06-05,3.727118998054434,1.9907219654982309,2.6092437452623964,0.8134714228672778,3.667925832878808
2007-06-06,3.8805546138831395,1.9821365537735258,2.617520032127269,0.9632733608425124,3.644888573818322
2007-06-07,3.958320387244283,1.9419188552903723,2.628623276539551,0.8459289621636101,3.499081464268895
2007-06-08,3.7699301683800335,1.9083364063070476,2.6350920683766206,0.8216682229769642,3.510591356771277
2007-06-11,3.6487905374573275,1.8980608612215755,2.6317832040315117,0.8111176792838275,3.5115914471044
2007-06-12,3.570004878649449,1.9652920119537056,2.6255073524287478,0.8115085095938296,3.606698948726701
2007-06-13,3.6742811495814545,1.9621118078898196,2.632743961918683,0.810538132901813,3.5930049465208294
2007-06-14,3.6379333991939355,1.8429687980603857,2.6271376433071656,0.7924085386769616,3.5813197150166878
2007-06-15,3.5820700567488086,1.9515688911709432,2.6216295811740724,0.7690294418823576,3.59700729445046
2007-06-18,3.4333344538884942,1.9483209904117602,2.6145645822500563,0.7528041558959845,3.5804528133529985
2007-06-19,3.7456479820485877,1.937431986280053,2.638521048627664,0.7803572939347094,3.616362665882051
2007-06-20,3.654128605321695,1.9278395127998376,2.6307998216980772,0.7735981933103714,3.6117148821500424
2007-06-21,4.007392337625686,1.912035989236327,2.6348691626006557,0.8597660615874266,3.595094425277353
2007-06-22,3.968776734093604,1.942801977418681,2.6288936655678077,0.8565287120847236,3.5838961273644823
2007-06-25,4.016320303026177,1.9920681175811892,2.6241732898631964,0.8898518933997233,3.582426423261529
2007-06-26,3.943525742891971,2.2348452532520033,2.620828588920883,0.894858040965849,3.56629750234796
2007-06-27,3.8551377094200165,2.1972670956146687,2.6148522616897734,0.9198765965436925,3.558726928465783
2007-06-28,3.7568802783621393,2.189690484800616,2.6387087775742675,0.9250919835954715,3.603165457268522
2007-06-29,3.754012388093359,2.188307534999364,2.6493893160342714,0.9269656116634426,3.571006528815067
2007-07-02,3.66974985735174,2.0202957173486857,2.643822529228795,0.9322930574337432,3.570508982956199
2007-07-03,3.573552499730852,2.008791816515547,2.639897985959955,1.039664866422779,3.5577152160910157
2007-07-04,3.610276187805924,2.0010353043467024,2.6537951851864174,0.990939701568442,3.651177110316748
2007-07-05,3.503327098546053,1.9945363012272053,2.6543954303043122,1.0205454273837786,3.6468584722505426
2007-07-06,3.529823460045862,1.9961408286174254,2.671850890605319,0.9473675474536264,3.629100552021817
2007-07-09,3.4692078242663156,1.988257982856057,2.6801586948224374,0.9201121176850026,3.6234342643339157
2007-07-10,3.382309970917444,1.9851634781928909,2.6676384266080615,0.9087397131276681,3.607596845783122
2007-07-11,3.953835607956811,1.9760112439847746,2.65954370305493,0.8793449816936408,3.6099172069411996
2007-07-12,3.966330657355002,1.9686691095351534,2.6708069226825657,0.9020076068569504,3.6032864701598912
2007-07-13,3.908195706934731,1.9656181559770072,2.6686486725792977,0.9483506795542068,3.615714526578369
2007-07-16,3.881825034230002,1.9682020234999933,2.6162468728830652,0.938668927552162,3.6080549635810772
2007-07-17,3.8404246705325185,1.9633341534806874,2.6033567809801386,0.9461430795738306,3.6184584520667067
2007-07-18,3.8456309509885016,1.9566353119323425,2.6005487537493117,0.8989500071617965,3.6365507187521446
2007-07-19,3.7503607203092058,1.9540546227333637,2.6171636154871853,0.8894718570901478,3.653213501346069
2007-07-20,3.696715201888419,1.9533326417354868,2.622967782060179,0.8876515741885125,3.6250879466206003
2007-07-23,3.7058840913751885,1.9872946619917782,2.609923142583179,0.9398289163776757,3.6217468571497573
2007-07-24,3.6864555359162856,1.9823433169992122,2.6271561278462365,0.8862216365719898,3.6199518962422936
2007-07-25,3.6980100840090153,1.982338415674971,2.634545391729737,0.8565860974704542,3.6308333741810546
2007-07-26,3.6478087170052556,2.022023743049932,2.8972653187512134,0.8401060564514707,3.652367227681042
2007-07-27,3.6794598062809136,2.0134044392026413,2.8153944617587094,0.9059544318924887,3.700776309470104
2007-07-30,3.611090252632335,2.0095548641071117,2.8839952928551424,0.9030691919925086,3.690126646130779
2007-07-31,3.5862928399655276,2.005854390571706,2.924936107097352,0.8492592619792517,3.6748411654217303
2007-08-01,3.6166080324497853,2.0063577944487205,2.9622135754026577,0.8140019980455759,3.6624265694554374
2007-08-02,3.588206925433059,2.0100382250039206,3.0861163558220044,0.7919217912580958,3.6240822874653746
2007-08-03,3.5435316151853886,2.0022989792603303,2.998975032804058,0.8039164726836217,3.6228468569588994
2007-08-06,3.446480439070584,1.9985030510786774,2.935496331616102,0.9361084510215576,3.616801143158475
2007-08-07,3.424188813687393,1.9924600457206607,2.8771000999448644,0.8979093984119284,3.6252781866179777
2007-08-08,3.390930688224973,1.991770111359071,2.8420551180186453,0.8856180115476602,3.653992092225384
2007-08-09,3.36951289141899,1.9853812549483056,2.8029352105817433,0.8577148702251625,3.626988973205186
2007-08-10,3.329747876543494,1.9784372573668259,3.1952919149639976,0.9046521656354376,3.618636174646561
2007-08-13,3.3160863267582084,1.9720595714284455,3.2152460091558166,0.9115727293881775,3.635869357059632
2007-08-14,3.3012354817916094,1.9672542220380764,3.199463698595668,0.9611568368816003,3.623964145092965
2007-08-15,3.2922828715223913,1.9644998378285432,3.157398565357586,0.9155201785506446,3.6114193035052913
2007-08-16,3.264675930375097,1.9693548903921927,3.1321974749052814,0.8766498218137572,3.5970230211363448
2007-08-17,3.2448382302751244,1.97447985615823,3.339570820323525,0.8863101971258737,3.593949406635922
2007-08-20,3.314417600805669,1.9707104407412088,3.306233425597321,0.9052642725719091,3.604537188568207
2007-08-21,3.296385227188882,1.9833094618814482,3.3804443241178004,0.8723989256542354,3.5970224701855433
2007-08-22,3.0338833789924298,2.0039925268492524,3.364425885687046,0.8511747074955549,3.6379405134312
2007-08-23,2.9162791120339655,1.997452652387421,3.505239420372872,0.8397874618361967,3.631988991893186
2007-08-24,2.9227341930254056,2.018769699816929,3.4253519119369154,0.889924184562941,3.630270792488774
2007-08-27,3.17472253273119,2.0245207306476387,3.717754305070853,0.8981855855637779,3.6271770965506853
2007-08-28,3.120625427483942,2.019521952387044,3.6086792529919207,0.9481849634441372,3.4210456673717204
2007-08-29,2.9927474575201343,2.02072664549375,3.550009319296317,0.9823471232881004,3.6327213024076928
2007-08-30,3.1407761293691063,2.0160969112925913,3.613375429391032,0.9322373282076895,3.619277109474811
2007-08-31,3.1361810545628295,2.011283010181851,3.579966338504645,0.9007334567120376,3.6094026383774582
2007-09-03,3.0780793035504272,2.1314710492527444,3.8468874842493332,0.9294757667764911,3.602292759895303
2007-09-04,2.988357941791723,2.0991714006928848,3.7281156610199147,0.8904852253579191,3.5835813158082814
2007-09-05,3.077874408631702,2.0037135945174924,3.677880958598017,0.8654326479211844,3.604569180586501
2007-09-06,3.0766347744360063,2.0098769650460615,3.6015526704023015,0.841151631095814,3.6080743569140923
2007-09-07,3.0508337038316173,2.0265429392166947,3.483601393719962,0.9652133851695921,3.6311514933478493
2007-09-10,3.038497949737786,2.080119537787687,3.9229099427517244,0.9133664099338079,3.623116314950646
2007-09-11,3.044114045198609,2.106281306300738,3.950693396381052,0.8797946874803079,3.6128777126229332
2007-09-12,3.0589232098011436,2.062394688616726,3.9016539611744347,0.8863277684668307,3.6020871798155323
2007-09-13,3.232344658860641,2.166209217884698,3.8953911501448792,0.8669161998751709,3.5872617673108635
2007-09-14,3.401805388780009,2.2417826489320496,3.7525016069260597,0.9077490442105581,3.5859167587051406
2007-09-17,3.3868418986890005,2.246373820597072,3.8192971181905935,0.8853056004300639,3.5802573099441157
2007-09-18,3.3860329096491886,2.235682452667811,3.760584511098853,0.9365272286026791,3.5766155176744845
2007-09-19,3.3579432726670255,2.1124112083395676,3.706009977269188,0.9203741676834515,3.5698455369035584
2007-09-20,3.2822572487380506,2.311563810837692,3.780824809554194,0.9788377372769702,3.573863024931731
2007-09-21,3.2122635985986068,2.289199353892064,3.7297985280982666,0.9250825594398697,3.5678590640237338
2007-09-24,3.2331474816773693,2.2851454853394153,3.738258374730382,0.9072427393199234,3.5591133300902182
2007-09-25,3.2076113090746823,1.9959683863198623,3.7780677710589274,0.882219093931411,3.580307236990279
2007-09-26,3.0661774033943163,2.2828442631088666,3.739687377014351,0.8590068415158925,3.592065389985103
2007-09-27,3.0308468616234436,2.2636283566881548,3.6264118641606196,0.8574551176039268,3.616445310544218
2007-09-28,3.0012201349214442,2.2665333575339317,3.6315239166715316,0.8696986440065285,3.6161844219928687
2007-10-01,3.0569244823875716,2.254380424171553,3.5691716861567975,0.78981716276956,3.6087448755211247
2007-10-02,3.050960244113116,2.3338900930791175,3.435474742086956,0.8174800880875457,3.598102871938632
2007-10-03,3.005163959564619,2.319626568992082,3.4727893157715113,0.8184196281340083,3.59017907792826
